city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Almaty,43.2400,76.9150,Kazakhstan,KZ,Almaty,admin,1916822,1916822
Shymkent,42.3167,69.5958,Kazakhstan,KZ,Shymkent,admin,1184113,1184113
Astana,51.1472,71.4222,Kazakhstan,KZ,Nur-Sultan,primary,1078362,1078362
Qaraghandy,49.8028,73.1056,Kazakhstan,KZ,Qaraghandy,admin,497777,497777
Öskemen,49.9833,82.6167,Kazakhstan,KZ,East Kazakhstan,admin,400142,400142
Aqtöbe,50.2836,57.2297,Kazakhstan,KZ,Aqtöbe,admin,387807,387807
Taraz,42.9000,71.3667,Kazakhstan,KZ,Zhambyl,admin,357795,357795
Semey,50.4333,80.2667,Kazakhstan,KZ,Abay,admin,350201,350201
Pavlodar,52.3000,76.9500,Kazakhstan,KZ,Pavlodar,admin,343091,7738
Türkistan,43.3019,68.2692,Kazakhstan,KZ,Türkistan,admin,250000,164746
Qyzylorda,44.8500,65.5167,Kazakhstan,KZ,Qyzylorda,admin,242462,242462
Oral,51.2225,51.3725,Kazakhstan,KZ,West Kazakhstan,admin,234184,36466
Qostanay,53.2000,63.6200,Kazakhstan,KZ,Qostanay,admin,217135,217135
Petropavl,54.8833,69.1667,Kazakhstan,KZ,North Kazakhstan,admin,201446,201446
Temirtaū,50.0500,72.9500,Kazakhstan,KZ,Qaraghandy,minor,185082,185082
Aqtaū,43.6525,51.1575,Kazakhstan,KZ,Mangghystaū,admin,183350,183350
Kökshetaū,53.2833,69.3833,Kazakhstan,KZ,Aqmola,admin,165153,139063
Ekibastuz,51.6667,75.3667,Kazakhstan,KZ,Pavlodar,minor,159760,159760
Zhangaözen,43.3378,52.8553,Kazakhstan,KZ,Mangghystaū,,147962,147962
Atyraū,47.1167,51.8833,Kazakhstan,KZ,Atyraū,admin,130916,130916
Taldyqorghan,45.0167,78.3667,Kazakhstan,KZ,Zhetisū,admin,129960,129960
Rudnyy,52.9667,63.1333,Kazakhstan,KZ,Qostanay,minor,128200,128200
Zhezqazghan,47.7833,67.7000,Kazakhstan,KZ,Ulytaū,admin,90661,86227
Kentaū,43.5167,68.5167,Kazakhstan,KZ,Türkistan,minor,81484,81484
Balqash,46.8481,74.9950,Kazakhstan,KZ,Qaraghandy,minor,78002,78002
Aqsū,52.0333,76.9167,Kazakhstan,KZ,Pavlodar,minor,69354,69354
Sätbayev,47.9000,67.5333,Kazakhstan,KZ,Ulytaū,minor,61883,61883
Kapchagay,43.8833,77.0833,Kazakhstan,KZ,Almaty,,61677,61677
Qaskeleng,43.2000,76.6200,Kazakhstan,KZ,Almaty,minor,58418,58418
Ridder,50.3500,83.5167,Kazakhstan,KZ,East Kazakhstan,minor,49695,49695
Zyryanovsk,49.7453,84.2548,Kazakhstan,KZ,East Kazakhstan,minor,49658,49658
Talghar,43.3000,77.2333,Kazakhstan,KZ,Almaty,minor,47301,47301
Stepnogorsk,52.3497,71.8900,Kazakhstan,KZ,Aqmola,minor,46712,46712
Shchūchīnsk,52.9333,70.2000,Kazakhstan,KZ,Aqmola,minor,45004,45004
